episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon
0,0,4,2,-100,0,1,9,91,0.0995
0,1,6,0,-75,3,1,10,90,0.0995
0,2,2,4,-80,2,0,12,88,0.0995
1,0,6,3,-80,2,0,10,90,0.09900250000000001
1,1,5,2,-40,6,0,8,92,0.09900250000000001
1,2,1,9,-50,5,0,8,92,0.09900250000000001
2,0,6,6,-60,4,2,12,88,0.0985074875
2,1,0,4,-60,4,0,17,83,0.0985074875
2,2,4,0,-80,3,2,13,87,0.0985074875
3,0,3,9,-50,5,2,14,86,0.09801495006250001
3,1,6,9,-40,6,0,10,90,0.09801495006250001
3,2,2,1,-40,7,2,11,89,0.09801495006250001
4,0,1,5,-40,6,0,13,87,0.09752487531218751
4,1,4,0,0,10,2,10,90,0.09752487531218751
4,2,5,8,-100,1,2,11,89,0.09752487531218751
5,0,7,8,-70,3,2,10,90,0.09703725093562657
5,1,5,9,-60,4,0,7,93,0.09703725093562657
5,2,9,5,-90,2,2,14,86,0.09703725093562657
6,0,4,7,-70,3,0,10,90,0.09655206468094843
6,1,4,4,-60,4,0,8,92,0.09655206468094843
6,2,7,3,-50,5,0,13,87,0.09655206468094843
7,0,8,0,-50,5,0,11,89,0.09606930435754368
7,1,0,7,-80,2,0,9,91,0.09606930435754368
7,2,1,4,-60,4,0,15,85,0.09606930435754368
8,0,7,9,-30,7,2,14,86,0.09558895783575597
8,1,2,7,-80,2,0,11,89,0.09558895783575597
8,2,5,7,-70,4,2,6,94,0.09558895783575597
9,0,7,0,-60,4,0,9,91,0.09511101304657718
9,1,4,0,-70,3,1,13,87,0.09511101304657718
9,2,8,8,-45,6,1,6,94,0.09511101304657718
10,0,6,2,-30,7,0,5,95,0.09463545798134429
10,1,7,9,-70,3,0,9,91,0.09463545798134429
10,2,6,4,-10,9,0,9,91,0.09463545798134429
11,0,7,4,-40,6,0,11,89,0.09416228069143756
11,1,6,1,-60,4,0,12,88,0.09416228069143756
11,2,6,4,-70,3,0,14,86,0.09416228069143756
12,0,6,1,-30,7,1,11,89,0.09369146928798038
12,1,7,8,-45,6,1,6,94,0.09369146928798038
12,2,3,5,-70,3,0,14,86,0.09369146928798038
13,0,6,5,-50,5,0,9,91,0.09322301194154048
13,1,6,3,-70,3,1,7,93,0.09322301194154048
13,2,7,6,-75,3,1,15,85,0.09322301194154048
14,0,2,7,-50,5,1,9,91,0.09275689688183278
14,1,4,3,-80,2,0,9,91,0.09275689688183278
14,2,5,3,-95,1,1,11,89,0.09275689688183278
15,0,1,0,-30,7,0,7,93,0.09229311239742362
15,1,1,7,-90,1,0,9,91,0.09229311239742362
15,2,2,3,-50,5,0,3,97,0.09229311239742362
16,0,7,7,-90,1,3,12,88,0.0918316468354365
16,1,3,6,-85,3,4,5,95,0.0918316468354365
16,2,0,6,-25,8,1,8,92,0.0918316468354365
17,0,8,2,-20,8,1,7,93,0.09137248860125932
17,1,6,5,-65,4,1,15,85,0.09137248860125932
17,2,4,5,-80,2,0,13,87,0.09137248860125932
18,0,5,3,-70,3,0,10,90,0.09091562615825302
18,1,7,6,-80,2,0,12,88,0.09091562615825302
18,2,4,3,-40,6,0,11,89,0.09091562615825302
19,0,6,8,-60,4,0,7,93,0.09046104802746176
19,1,8,2,-60,4,1,6,94,0.09046104802746176
19,2,7,0,-85,2,1,16,84,0.09046104802746176
20,0,5,6,-60,4,2,7,93,0.09000874278732444
20,1,5,1,-40,6,0,11,89,0.09000874278732444
20,2,4,3,-100,1,2,13,87,0.09000874278732444
21,0,8,3,0,10,1,11,89,0.08955869907338782
21,1,1,1,-55,5,1,9,91,0.08955869907338782
21,2,4,9,-70,3,0,10,90,0.08955869907338782
22,0,4,4,-80,2,3,10,90,0.08911090557802087
22,1,8,7,-20,8,2,11,89,0.08911090557802087
22,2,8,6,-95,3,5,15,85,0.08911090557802087
23,0,2,9,-30,7,0,7,93,0.08866535105013076
23,1,6,5,-60,4,4,7,93,0.08866535105013076
23,2,7,8,-90,3,4,10,90,0.08866535105013076
24,0,2,4,-70,3,2,15,85,0.08822202429488012
24,1,1,2,-70,4,3,3,97,0.08822202429488012
24,2,5,6,-45,6,1,5,95,0.08822202429488012
25,0,3,3,-40,6,3,12,88,0.08778091417340572
25,1,8,7,-70,3,0,7,93,0.08778091417340572
25,2,5,5,-95,2,3,12,88,0.08778091417340572
26,0,6,6,-30,7,0,4,96,0.0873420096025387
26,1,3,4,-60,4,0,7,93,0.0873420096025387
26,2,7,2,-40,6,0,9,91,0.0873420096025387
27,0,1,9,-60,4,0,10,90,0.086905299554526
27,1,5,5,-50,5,0,11,89,0.086905299554526
27,2,7,3,-90,1,0,7,93,0.086905299554526
28,0,1,1,-60,4,1,5,95,0.08647077305675337
28,1,0,3,-60,4,1,4,96,0.08647077305675337
28,2,2,2,-90,2,2,10,90,0.08647077305675337
29,0,4,8,-60,4,1,11,89,0.0860384191914696
29,1,2,3,-75,3,2,7,93,0.0860384191914696
29,2,3,6,-15,9,1,16,84,0.0860384191914696
30,0,1,4,-50,5,3,16,84,0.08560822709551225
30,1,0,9,-105,1,3,9,91,0.08560822709551225
30,2,4,2,-70,3,0,3,97,0.08560822709551225
31,0,5,1,-30,7,1,8,92,0.08518018596003468
31,1,4,9,-50,5,0,5,95,0.08518018596003468
31,2,6,9,-35,7,1,8,92,0.08518018596003468
32,0,8,8,-60,4,2,10,90,0.08475428503023451
32,1,1,7,-70,3,6,12,88,0.08475428503023451
32,2,2,8,-70,7,8,12,88,0.08475428503023451
33,0,6,7,-80,2,3,7,93,0.08433051360508334
33,1,2,5,-45,7,4,3,97,0.08433051360508334
33,2,2,4,-95,1,1,7,93,0.08433051360508334
34,0,9,8,-50,5,2,9,91,0.08390886103705793
34,1,7,9,-60,5,2,15,85,0.08390886103705793
34,2,6,5,-90,1,0,9,91,0.08390886103705793
35,0,8,5,-80,2,0,7,93,0.08348931673187264
35,1,5,1,-60,4,0,7,93,0.08348931673187264
35,2,1,3,-60,4,0,6,94,0.08348931673187264
36,0,2,5,-50,5,0,5,95,0.08307187014821328
36,1,8,2,0,10,3,7,93,0.08307187014821328
36,2,1,7,-105,1,3,9,91,0.08307187014821328
37,0,9,1,-80,2,6,7,93,0.08265651079747222
37,1,9,0,-100,3,7,5,95,0.08265651079747222
37,2,3,8,-75,3,1,10,90,0.08265651079747222
38,0,3,8,-50,5,0,14,86,0.08224322824348486
38,1,5,3,-50,5,0,8,92,0.08224322824348486
38,2,0,8,-40,6,0,11,89,0.08224322824348486
39,0,1,8,-10,9,1,13,87,0.08183201210226744
39,1,4,2,-50,5,0,4,96,0.08183201210226744
39,2,2,8,-65,4,1,7,93,0.08183201210226744
40,0,3,9,-60,4,2,4,96,0.0814228520417561
40,1,2,1,-60,4,2,4,96,0.0814228520417561
40,2,4,0,-100,2,4,7,93,0.0814228520417561
41,0,6,5,0,10,0,7,93,0.08101573778154732
41,1,3,9,-70,3,4,9,91,0.08101573778154732
41,2,8,3,-80,4,4,8,92,0.08101573778154732
42,0,5,1,-50,5,2,9,91,0.08061065909263958
42,1,7,2,-60,5,2,6,94,0.08061065909263958
42,2,7,7,-50,5,0,11,89,0.08061065909263958
43,0,4,0,-20,8,1,10,90,0.08020760579717638
43,1,3,3,-30,7,1,6,94,0.08020760579717638
43,2,6,5,-60,5,2,11,89,0.08020760579717638
44,0,8,0,-40,6,0,6,94,0.0798065677681905
44,1,8,4,-60,4,0,9,91,0.0798065677681905
44,2,4,7,-50,5,0,6,94,0.0798065677681905
45,0,6,1,-30,7,4,3,97,0.07940753492934956
45,1,0,7,-75,4,4,9,91,0.07940753492934956
45,2,5,0,-40,7,2,5,95,0.07940753492934956
46,0,7,0,-60,4,0,7,93,0.07901049725470281
46,1,2,8,-40,6,0,6,94,0.07901049725470281
46,2,6,8,-20,8,0,7,93,0.07901049725470281
47,0,3,2,-30,7,2,7,93,0.0786154447684293
47,1,2,8,-100,1,2,5,95,0.0786154447684293
47,2,7,0,-40,6,0,9,91,0.0786154447684293
48,0,6,3,-90,1,6,7,93,0.07822236754458715
48,1,6,0,-60,4,1,13,87,0.07822236754458715
48,2,7,3,-125,1,7,6,94,0.07822236754458715
49,0,2,2,-40,6,3,8,92,0.07783125570686422
49,1,1,7,-50,6,2,10,90,0.07783125570686422
49,2,6,0,-35,7,1,8,92,0.07783125570686422
50,0,9,2,-60,4,6,8,92,0.0774420994283299
50,1,8,2,-40,8,7,5,95,0.0774420994283299
50,2,8,4,-85,4,5,7,93,0.0774420994283299
51,0,8,2,-40,6,0,7,93,0.07705488893118825
51,1,5,4,-50,5,3,11,89,0.07705488893118825
51,2,0,4,-75,4,3,8,92,0.07705488893118825
52,0,4,8,-60,4,0,8,92,0.07666961448653231
52,1,6,4,-70,3,1,7,93,0.07666961448653231
52,2,5,3,-75,3,1,6,94,0.07666961448653231
53,0,2,1,-60,4,2,4,96,0.07628626641409965
53,1,6,4,-80,2,2,9,91,0.07628626641409965
53,2,5,9,-60,6,4,6,94,0.07628626641409965
54,0,8,4,-50,5,6,10,90,0.07590483508202915
54,1,6,1,-110,2,7,8,92,0.07590483508202915
54,2,6,8,-45,6,1,6,94,0.07590483508202915
55,0,8,6,-90,1,3,8,92,0.075525310906619
55,1,7,2,-10,9,0,12,88,0.075525310906619
55,2,0,7,-15,10,3,8,92,0.075525310906619
56,0,8,9,-70,3,4,5,95,0.07514768435208591
56,1,7,9,-85,2,1,8,92,0.07514768435208591
56,2,1,1,-115,0,3,11,89,0.07514768435208591
57,0,3,0,0,10,3,7,93,0.07477194593032548
57,1,8,3,-40,7,5,4,96,0.07477194593032548
57,2,4,3,-80,4,4,7,93,0.07477194593032548
58,0,8,5,-70,3,2,4,96,0.07439808620067385
58,1,7,4,-40,7,2,15,85,0.07439808620067385
58,2,0,5,-30,7,0,4,96,0.07439808620067385
59,0,5,5,-60,4,4,9,91,0.07402609576967048
59,1,9,0,-85,2,4,11,89,0.07402609576967048
59,2,5,4,-50,8,6,7,93,0.07402609576967048
60,0,2,0,0,10,2,6,94,0.07365596529082213
60,1,2,2,-50,6,2,4,96,0.07365596529082213
60,2,2,7,-40,6,0,3,97,0.07365596529082213
61,0,1,4,-50,5,1,13,87,0.07328768546436802
61,1,6,8,-45,6,1,5,95,0.07328768546436802
61,2,2,8,-10,9,0,8,92,0.07328768546436802
