episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon,episode_length
0,0,2,2,-60,4,0,8,92,0.0995,100
1,0,5,4,-60,4,0,13,87,0.09900250000000001,100
2,0,3,1,-60,4,0,9,91,0.0985074875,100
3,0,3,1,-50,5,0,10,90,0.09801495006250001,100
4,0,1,3,-40,6,0,12,88,0.09752487531218751,100
5,0,5,1,-50,5,0,5,95,0.09703725093562657,100
6,0,8,0,-80,2,0,7,93,0.09655206468094843,100
7,0,7,5,-80,2,0,9,91,0.09606930435754368,100
8,0,6,3,-40,6,0,15,85,0.09558895783575597,100
9,0,2,1,-80,2,0,9,91,0.09511101304657718,100
10,0,2,0,-60,4,0,9,91,0.09463545798134429,100
11,0,1,6,-70,3,0,10,90,0.09416228069143756,100
12,0,9,0,-10,9,0,8,92,0.09369146928798038,100
13,0,6,7,-40,6,0,9,91,0.09322301194154048,100
14,0,9,9,-30,7,0,9,91,0.09275689688183278,100
15,0,7,6,-40,6,0,6,94,0.09229311239742362,100
16,0,5,7,-80,2,0,7,93,0.0918316468354365,100
17,0,7,1,-20,8,0,10,90,0.09137248860125932,100
18,0,1,9,-80,2,0,7,93,0.09091562615825302,100
19,0,5,4,-90,1,0,7,93,0.09046104802746176,100
20,0,8,8,-90,1,0,11,89,0.09000874278732444,100
21,0,2,0,-50,5,0,9,91,0.08955869907338782,100
22,0,9,0,-60,4,0,5,95,0.08911090557802087,100
23,0,8,1,-10,9,0,11,89,0.08866535105013076,100
24,0,5,1,-30,7,0,8,92,0.08822202429488012,100
25,0,0,3,-100,0,0,5,95,0.08778091417340572,100
26,0,5,4,-70,3,0,12,88,0.0873420096025387,100
27,0,1,2,-60,4,0,7,93,0.086905299554526,100
28,0,4,4,-70,3,0,15,85,0.08647077305675337,100
29,0,6,5,-50,5,0,7,93,0.0860384191914696,100
30,0,9,6,-90,1,0,10,90,0.08560822709551225,100
31,0,7,2,-50,5,0,10,90,0.08518018596003468,100
32,0,3,5,-70,3,0,9,91,0.08475428503023451,100
33,0,4,5,-70,3,0,6,94,0.08433051360508334,100
34,0,3,8,-50,5,0,10,90,0.08390886103705793,100
35,0,8,8,-50,5,0,10,90,0.08348931673187264,100
36,0,3,3,-60,4,0,4,96,0.08307187014821328,100
37,0,6,2,-80,2,0,11,89,0.08265651079747222,100
38,0,5,7,-50,5,0,6,94,0.08224322824348486,100
39,0,3,5,-70,3,0,10,90,0.08183201210226744,100
40,0,8,1,-30,7,0,5,95,0.0814228520417561,100
41,0,4,4,-80,2,0,10,90,0.08101573778154732,100
42,0,9,5,-80,2,0,5,95,0.08061065909263958,100
43,0,3,8,-40,6,0,7,93,0.08020760579717638,100
44,0,5,8,-90,1,0,12,88,0.0798065677681905,100
45,0,2,5,-40,6,0,7,93,0.07940753492934956,100
46,0,0,6,-80,2,0,7,93,0.07901049725470281,100
47,0,3,2,-100,0,0,6,94,0.0786154447684293,100
48,0,7,0,-80,2,0,9,91,0.07822236754458715,100
49,0,8,2,-70,3,0,8,92,0.07783125570686422,100
50,0,4,4,-20,8,0,8,92,0.0774420994283299,100
51,0,1,3,-40,6,0,7,93,0.07705488893118825,100
52,0,8,5,-30,7,0,5,95,0.07666961448653231,100
53,0,2,9,-30,7,0,2,98,0.07628626641409965,100
54,0,5,8,-10,9,0,8,92,0.07590483508202915,100
55,0,5,5,-60,4,0,11,89,0.075525310906619,100
56,0,3,9,-10,9,0,11,89,0.07514768435208591,100
57,0,5,7,-50,5,0,9,91,0.07477194593032548,100
58,0,1,9,-10,9,0,7,93,0.07439808620067385,100
59,0,7,7,-60,4,0,6,94,0.07402609576967048,100
60,0,6,2,-80,2,0,6,94,0.07365596529082213,100
61,0,8,3,-60,4,0,10,90,0.07328768546436802,100
62,0,6,7,-40,6,0,4,96,0.07292124703704618,100
63,0,8,3,-70,3,0,8,92,0.07255664080186094,100
64,0,5,7,-60,4,0,9,91,0.07219385759785164,100
65,0,9,0,-30,7,0,6,94,0.07183288830986238,100
66,0,7,8,-60,4,0,6,94,0.07147372386831308,100
